model_name,split,error_type,group_column,group_value,count
random_baseline,test,false_negative,circuit_short_name,Yas Marina Circuit,2
random_baseline,test,false_negative,circuit_short_name,Zandvoort,5
random_baseline,test,false_negative,session_year,2025,156
random_baseline,test,false_negative,_position_bin,1-5,85
random_baseline,test,false_negative,_position_bin,6-10,45
random_baseline,test,false_negative,_position_bin,11-15,16
random_baseline,test,false_negative,_position_bin,16-20,10
random_baseline,test,false_negative,_position_bin,21+,0
majority_baseline,test,false_positive,_position_bin,1-5,0
majority_baseline,test,false_positive,_position_bin,6-10,0
majority_baseline,test,false_positive,_position_bin,11-15,0
majority_baseline,test,false_positive,_position_bin,16-20,0
majority_baseline,test,false_positive,_position_bin,21+,0
majority_baseline,test,false_negative,team_name,Alpine,7
majority_baseline,test,false_negative,team_name,Aston Martin,19
majority_baseline,test,false_negative,team_name,Ferrari,47
majority_baseline,test,false_negative,team_name,Haas F1 Team,20
majority_baseline,test,false_negative,team_name,Kick Sauber,14
majority_baseline,test,false_negative,team_name,McLaren,52
majority_baseline,test,false_negative,team_name,Mercedes,47
majority_baseline,test,false_negative,team_name,Racing Bulls,19
majority_baseline,test,false_negative,team_name,Red Bull Racing,38
majority_baseline,test,false_negative,team_name,Williams,25
majority_baseline,test,false_negative,circuit_short_name,Austin,18
majority_baseline,test,false_negative,circuit_short_name,Baku,10
majority_baseline,test,false_negative,circuit_short_name,Catalunya,10
majority_baseline,test,false_negative,circuit_short_name,Hungaroring,10
majority_baseline,test,false_negative,circuit_short_name,Imola,10
majority_baseline,test,false_negative,circuit_short_name,Interlagos,18
majority_baseline,test,false_negative,circuit_short_name,Jeddah,10
majority_baseline,test,false_negative,circuit_short_name,Las Vegas,10
majority_baseline,test,false_negative,circuit_short_name,Lusail,18
majority_baseline,test,false_negative,circuit_short_name,Melbourne,10
majority_baseline,test,false_negative,circuit_short_name,Mexico City,10
majority_baseline,test,false_negative,circuit_short_name,Miami,18
majority_baseline,test,false_negative,circuit_short_name,Monte Carlo,10
majority_baseline,test,false_negative,circuit_short_name,Montreal,10
majority_baseline,test,false_negative,circuit_short_name,Monza,10
majority_baseline,test,false_negative,circuit_short_name,Sakhir,10
majority_baseline,test,false_negative,circuit_short_name,Shanghai,18
majority_baseline,test,false_negative,circuit_short_name,Silverstone,10
majority_baseline,test,false_negative,circuit_short_name,Singapore,10
majority_baseline,test,false_negative,circuit_short_name,Spa-Francorchamps,18
majority_baseline,test,false_negative,circuit_short_name,Spielberg,10
majority_baseline,test,false_negative,circuit_short_name,Suzuka,10
majority_baseline,test,false_negative,circuit_short_name,Yas Marina Circuit,10
majority_baseline,test,false_negative,circuit_short_name,Zandvoort,10
majority_baseline,test,false_negative,session_year,2025,288
majority_baseline,test,false_negative,_position_bin,1-5,137
majority_baseline,test,false_negative,_position_bin,6-10,91
majority_baseline,test,false_negative,_position_bin,11-15,35
majority_baseline,test,false_negative,_position_bin,16-20,25
majority_baseline,test,false_negative,_position_bin,21+,0
heuristic_position,test,false_positive,team_name,Alpine,8
heuristic_position,test,false_positive,team_name,Aston Martin,9
heuristic_position,test,false_positive,team_name,Ferrari,8
heuristic_position,test,false_positive,team_name,Haas F1 Team,1
heuristic_position,test,false_positive,team_name,Kick Sauber,4
heuristic_position,test,false_positive,team_name,McLaren,8
heuristic_position,test,false_positive,team_name,Mercedes,5
heuristic_position,test,false_positive,team_name,Racing Bulls,13
heuristic_position,test,false_positive,team_name,Red Bull Racing,7
heuristic_position,test,false_positive,team_name,Williams,9
heuristic_position,test,false_positive,circuit_short_name,Austin,6
heuristic_position,test,false_positive,circuit_short_name,Baku,1
heuristic_position,test,false_positive,circuit_short_name,Catalunya,1
heuristic_position,test,false_positive,circuit_short_name,Hungaroring,1
heuristic_position,test,false_positive,circuit_short_name,Imola,3
heuristic_position,test,false_positive,circuit_short_name,Interlagos,5
heuristic_position,test,false_positive,circuit_short_name,Jeddah,2
