endpoint,year,session_key,output_path,record_count,status,error_message,ingestion_timestamp_utc,manifest_source
laps,2024,9472.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9472.jsonl,1129,success,,2026-05-19T17:44:09+00:00,original
laps,2024,9480.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9480.jsonl,902,success,,2026-05-19T17:44:09+00:00,original
laps,2024,9488.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9488.jsonl,998,success,,2026-05-19T17:44:10+00:00,original
laps,2024,9496.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9496.jsonl,908,success,,2026-05-19T17:44:10+00:00,original
laps,2024,9506.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9506.jsonl,345,success,,2026-05-19T17:44:11+00:00,original
laps,2024,9507.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9507.jsonl,1112,success,,2026-05-19T17:44:12+00:00,original
laps,2024,9515.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9515.jsonl,1239,success,,2026-05-19T17:44:12+00:00,original
laps,2024,9523.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9523.jsonl,1237,success,,2026-05-19T17:44:13+00:00,original
laps,2024,9531.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9531.jsonl,1272,success,,2026-05-19T17:44:13+00:00,original
laps,2024,9539.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9539.jsonl,1310,success,,2026-05-19T17:44:14+00:00,original
laps,2024,9549.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9549.jsonl,460,success,,2026-05-19T17:44:15+00:00,original
laps,2024,9550.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9550.jsonl,1407,success,,2026-05-19T17:44:15+00:00,original
laps,2024,9558.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9558.jsonl,962,success,,2026-05-19T17:44:16+00:00,original
laps,2024,9566.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9566.jsonl,1356,success,,2026-05-19T17:44:17+00:00,original
laps,2024,9635.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9635.jsonl,479,success,,2026-05-19T17:45:00+00:00,original
laps,2024,9636.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9636.jsonl,1137,success,,2026-05-19T17:45:00+00:00,original
laps,2024,9644.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9644.jsonl,940,success,,2026-05-19T17:45:01+00:00,original
laps,2024,9654.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9654.jsonl,380,success,,2026-05-19T17:45:01+00:00,original
laps,2024,9655.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9655.jsonl,944,success,,2026-05-19T17:45:02+00:00,original
laps,2024,9662.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9662.jsonl,1037,success,,2026-05-19T17:45:03+00:00,original
laps,2024,9672.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9672.jsonl,379,success,,2026-05-19T17:45:03+00:00,original
laps,2024,9673.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9673.jsonl,1033,success,,2026-05-19T17:45:04+00:00,original
laps,2025,9693.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9693.jsonl,928,success,,2026-05-19T17:45:04+00:00,original
laps,2025,9839.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9839.jsonl,1156,success,,2026-05-19T17:45:05+00:00,original
laps,2025,9845.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9845.jsonl,380,success,,2026-05-19T17:45:05+00:00,original
laps,2025,9850.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9850.jsonl,1070,success,,2026-05-19T17:45:06+00:00,original
laps,2025,9858.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9858.jsonl,888,success,,2026-05-19T17:45:06+00:00,original
laps,2025,9864.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9864.jsonl,444,success,,2026-05-19T17:45:07+00:00,original
laps,2025,9869.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9869.jsonl,1252,success,,2026-05-19T17:45:08+00:00,original
laps,2025,9877.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9877.jsonl,1266,success,,2026-05-19T17:45:08+00:00,original
laps,2025,9883.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9883.jsonl,320,success,,2026-05-19T17:45:09+00:00,original
laps,2025,9888.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9888.jsonl,1067,success,,2026-05-19T17:45:09+00:00,original
laps,2025,9896.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9896.jsonl,1229,success,,2026-05-19T17:45:10+00:00,original
laps,2025,9904.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9904.jsonl,968,success,,2026-05-19T17:45:11+00:00,original
laps,2025,9912.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9912.jsonl,976,success,,2026-05-19T17:45:11+00:00,original
laps,2025,9920.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9920.jsonl,1365,success,,2026-05-19T17:45:12+00:00,original
laps,2025,9928.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9928.jsonl,1369,success,,2026-05-19T17:45:12+00:00,original
