endpoint,year,session_key,output_path,record_count,status,error_message,ingestion_timestamp_utc
laps,2023,9141,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9141.jsonl,817,success,,2026-05-19T17:44:01+00:00
laps,2023,9149,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9149.jsonl,1344,success,,2026-05-19T17:44:02+00:00
laps,2023,9157,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9157.jsonl,968,success,,2026-05-19T17:44:02+00:00
laps,2023,9165,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9165.jsonl,1091,success,,2026-05-19T17:44:03+00:00
laps,2023,9173,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9173.jsonl,886,success,,2026-05-19T17:44:03+00:00
laps,2023,9181,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9181.jsonl,1286,success,,2026-05-19T17:44:04+00:00
laps,2023,9189,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9189.jsonl,949,success,,2026-05-19T17:44:04+00:00
laps,2023,9197,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9197.jsonl,1159,success,,2026-05-19T17:44:05+00:00
laps,2023,9204,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9204.jsonl,480,success,,2026-05-19T17:44:05+00:00
laps,2023,9205,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9205.jsonl,1112,success,,2026-05-19T17:44:06+00:00
laps,2023,9212,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9212.jsonl,379,success,,2026-05-19T17:44:06+00:00
laps,2023,9213,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9213.jsonl,1017,success,,2026-05-19T17:44:07+00:00
laps,2023,9220,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9220.jsonl,323,success,,2026-05-19T17:44:07+00:00
laps,2023,9221,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9221.jsonl,1009,success,,2026-05-19T17:44:08+00:00
laps,2024,9472,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9472.jsonl,1129,success,,2026-05-19T17:44:09+00:00
laps,2024,9480,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9480.jsonl,902,success,,2026-05-19T17:44:09+00:00
laps,2024,9488,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9488.jsonl,998,success,,2026-05-19T17:44:10+00:00
laps,2024,9496,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9496.jsonl,908,success,,2026-05-19T17:44:10+00:00
laps,2024,9506,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9506.jsonl,345,success,,2026-05-19T17:44:11+00:00
laps,2024,9507,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9507.jsonl,1112,success,,2026-05-19T17:44:12+00:00
laps,2024,9515,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9515.jsonl,1239,success,,2026-05-19T17:44:12+00:00
laps,2024,9523,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9523.jsonl,1237,success,,2026-05-19T17:44:13+00:00
laps,2024,9531,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9531.jsonl,1272,success,,2026-05-19T17:44:13+00:00
laps,2024,9539,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9539.jsonl,1310,success,,2026-05-19T17:44:14+00:00
