endpoint,year,session_key,output_path,record_count,status,error_message,ingestion_timestamp_utc,previous_status,previous_error_message,retry_attempt
position,2023,9118,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2023/session_key=9118.jsonl,532,success,,2026-05-19T20:53:53+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9118},1
position,2023,9126,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2023/session_key=9126.jsonl,305,success,,2026-05-19T20:53:59+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9126},1
position,2023,9133,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2023/session_key=9133.jsonl,464,success,,2026-05-19T20:54:05+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9133},1
position,2023,9140,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2023/session_key=9140.jsonl,282,success,,2026-05-19T20:54:12+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9140},1
position,2023,9141,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2023/session_key=9141.jsonl,620,success,,2026-05-19T20:54:18+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9141},1
position,2023,9149,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2023/session_key=9149.jsonl,1012,success,,2026-05-19T20:54:24+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9149},1
position,2024,9606,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2024/session_key=9606.jsonl,416,success,,2026-05-19T20:54:30+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9606},1
position,2024,9616,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2024/session_key=9616.jsonl,111,success,,2026-05-19T20:54:36+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9616},1
position,2024,9617,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2024/session_key=9617.jsonl,403,success,,2026-05-19T20:54:42+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9617},1
position,2024,9625,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2024/session_key=9625.jsonl,422,success,,2026-05-19T20:54:49+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9625},1
position,2024,9635,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2024/session_key=9635.jsonl,113,success,,2026-05-19T20:54:55+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9635},1
position,2024,9636,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2024/session_key=9636.jsonl,360,success,,2026-05-19T20:55:01+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9636},1
position,2024,9644,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2024/session_key=9644.jsonl,691,success,,2026-05-19T20:55:07+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9644},1
position,2024,9654,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2024/session_key=9654.jsonl,217,success,,2026-05-19T20:55:13+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9654},1
position,2024,9655,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2024/session_key=9655.jsonl,510,success,,2026-05-19T20:55:19+00:00,failed,HTTP 429 rate limit for position params={'session_key': 9655},1
position,2025,10022,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2025/session_key=10022.jsonl,322,success,,2026-05-19T20:55:25+00:00,failed,HTTP 429 rate limit for position params={'session_key': 10022},1
position,2025,10028,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2025/session_key=10028.jsonl,327,success,,2026-05-19T20:55:32+00:00,failed,HTTP 429 rate limit for position params={'session_key': 10028},1
position,2025,10033,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2025/session_key=10033.jsonl,291,success,,2026-05-19T20:55:38+00:00,failed,HTTP 429 rate limit for position params={'session_key': 10033},1
race_control,2023,7779,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2023/session_key=7779.jsonl,58,success,,2026-05-19T20:55:44+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 7779},1
race_control,2023,7787,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2023/session_key=7787.jsonl,111,success,,2026-05-19T20:55:50+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 7787},1
race_control,2023,7953,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2023/session_key=7953.jsonl,75,success,,2026-05-19T20:55:56+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 7953},1
race_control,2023,9069,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2023/session_key=9069.jsonl,50,success,,2026-05-19T20:56:02+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 9069},1
race_control,2023,9070,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2023/session_key=9070.jsonl,54,success,,2026-05-19T20:56:08+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 9070},1
race_control,2023,9078,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2023/session_key=9078.jsonl,40,success,,2026-05-19T20:56:14+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 9078},1
race_control,2023,9086,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2023/session_key=9086.jsonl,0,failed,"HTTP 404 for race_control params={'session_key': 9086}: {""detail"":""No results found.""}",2026-05-19T20:56:21+00:00,failed,"HTTP 404 for race_control params={'session_key': 9086}: {""detail"":""No results found.""}",1
race_control,2024,9523,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2024/session_key=9523.jsonl,122,success,,2026-05-19T20:56:27+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 9523},1
race_control,2024,9531,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2024/session_key=9531.jsonl,130,success,,2026-05-19T20:56:33+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 9531},1
race_control,2024,9539,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2024/session_key=9539.jsonl,107,success,,2026-05-19T20:56:39+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 9539},1
race_control,2024,9549,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2024/session_key=9549.jsonl,16,success,,2026-05-19T20:56:45+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 9549},1
race_control,2024,9550,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2024/session_key=9550.jsonl,125,success,,2026-05-19T20:56:52+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 9550},1
race_control,2024,9558,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2024/session_key=9558.jsonl,110,success,,2026-05-19T20:56:58+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 9558},1
race_control,2024,9566,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2024/session_key=9566.jsonl,75,success,,2026-05-19T20:57:04+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 9566},1
race_control,2024,9574,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2024/session_key=9574.jsonl,23,success,,2026-05-19T20:57:10+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 9574},1
race_control,2024,9582,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2024/session_key=9582.jsonl,84,success,,2026-05-19T20:57:16+00:00,failed,HTTP 429 rate limit for race_control params={'session_key': 9582},1
